broken_windows,value,num_units,num_stories,num_rooms,num_bedrooms,hhinc,num_under6,num_under18,year
0,250000,1,1,7,4,1200,1,4,2011
0,250000,1,1,4,3,7200,1,1,2011
0,250000,1,1,4,3,13044,1,1,2011
0,300000,1,1,5,4,11880,1,1,2011
0,450000,1,2,5,4,66000,1,1,2011
0,600000,3,2,3,2,100000,1,1,2011
0,600000,3,2,5,4,22200,1,1,2011
0,445000,1,2,6,4,220000,2,3,2011
0,445000,1,2,8,5,236680,1,1,2011
0,450000,1,1,7,5,94384,1,1,2011
0,350000,1,1,6,4,76000,1,1,2011
0,425000,1,1,5,4,83000,1,2,2011
0,475000,1,1,8,7,55300,1,3,2011
0,475000,3,1,4,3,20000,1,2,2011
0,479000,1,2,8,5,117000,2,2,2011
0,479000,3,1,5,4,42000,1,4,2011
0,475000,1,1,6,4,31500,1,1,2011
0,475000,1,1,3,3,20000,2,4,2011
0,475000,1,1,5,4,30000,1,1,2011
0,535000,1,1,8,4,146915,1,1,2011
0,350000,1,1,5,4,46852,1,1,2011
0,350000,3,1,5,4,50000,1,1,2011
0,350000,1,1,5,3,155000,1,1,2011
0,300000,1,1,6,4,40000,1,1,2011
0,200000,1,1,5,2,13000,1,1,2011
0,450000,5,3,4,4,110000,2,2,2011
0,550000,3,2,6,4,120000,1,1,2011
0,500000,1,2,8,5,120000,1,1,2011
0,500000,1,2,6,5,77000,1,2,2011
0,500000,2,2,6,4,213000,1,3,2011
0,700000,1,3,7,4,19000,1,1,2011
0,450000,1,2,6,4,-20600,1,2,2011
0,450000,3,1,5,4,52000,1,1,2011
0,344000,3,1,5,3,50000,1,1,2011
0,20000,13,7,4,3,23000,1,1,2011
0,20000,13,6,4,3,12000,1,1,2011
0,40000,13,7,5,4,134000,1,3,2011
0,40000,13,7,3,2,56000,1,1,2011
0,6000,13,7,3,2,35000,1,1,2011
0,250000,13,7,5,4,141000,1,1,2011
0,250000,13,7,4,3,85000,1,1,2011
0,250000,13,7,4,3,75800,1,1,2011
0,75000,13,7,4,3,95000,2,2,2011
0,75000,13,7,4,3,20475,1,1,2011
0,75000,13,7,6,4,303000,1,1,2011
0,75000,13,7,3,2,45400,1,1,2011
0,75000,13,7,4,3,66760,1,1,2011
0,75000,13,7,4,3,19000,1,1,2011
0,37000,13,7,3,2,70000,1,1,2011
0,39000,13,7,6,4,32820,1,1,2011
0,15000,13,7,4,3,61000,1,1,2011
0,15000,13,7,3,2,13044,1,1,2011
0,15000,13,7,3,2,28000,1,1,2011
0,15000,13,6,5,4,53000,1,3,2011
0,15000,13,7,2,2,50000,1,2,2011
0,100000,13,7,3,2,98716,1,1,2011
0,100000,13,7,4,3,9900,1,2,2011
0,29000,13,7,5,4,36060,1,1,2011
0,18500,13,7,4,3,85000,1,1,2011
0,18500,13,7,4,3,34270,1,1,2011
0,18500,13,7,5,4,46000,1,2,2011
0,18500,13,7,4,3,133000,1,1,2011
0,15000,13,7,4,3,34536,1,1,2011
0,15000,13,6,4,4,103000,1,2,2011
0,15000,13,7,6,4,153000,1,1,2011
0,15000,13,7,4,3,12629,1,1,2011
0,15000,13,7,3,2,24480,1,1,2011
0,10000,13,7,4,3,63800,1,1,2011
1,10000,13,7,3,2,175000,1,1,2011
1,13000,13,7,3,2,27992,1,1,2011
1,12000,13,7,5,4,59620,1,1,2011
1,12000,13,7,4,3,72800,1,1,2011
0,36000,13,7,3,2,90429,1,1,2011
0,20000,13,7,4,3,14000,1,1,2011
0,40000,13,7,4,3,27600,1,1,2011
0,25000,13,7,5,4,52000,2,4,2011
0,20000,13,7,3,2,26704,1,1,2011
0,20000,13,7,3,2,54000,1,1,2011
0,20000,13,7,4,3,21600,1,1,2011
0,20000,13,7,3,2,18000,1,1,2011
0,20000,13,7,4,3,115000,1,1,2011
0,35000,13,7,4,3,9600,1,1,2011
0,35000,13,7,4,3,15000,1,1,2011
0,35000,13,7,5,4,38560,1,1,2011
0,8500,13,7,3,2,27000,1,1,2011
0,30000,13,7,4,4,95800,1,2,2011
0,30000,13,7,4,2,24972,1,1,2011
0,30000,13,7,4,3,60000,1,1,2011
0,14000,13,7,3,2,60000,1,3,2011
